student_id,life_direction_meaning,college_work_resilience,campus_seen_supported,emotionally_steady,hopeful_future,clear_values,life_depth_moments,cheerful_spirits,college_growth,academic_wellbeing,biggest_challenge,school_time_energy,faculty_staff_support,people_to_turn_to,know_support_resources,focus_place,enough_sleep,parent_caregiver_support,enjoyable_company,feels_alone,phone_social_media_interference,physical_activity,alcohol_cannabis_social_coping,money_stress,study_hours_outside_class,life_priority,age_group,college_stage,gender,race_ethnicity,parent_four_year_college,college_goal,major_field,major_confidence,spring_credits,class_modality,paid_work_hours,life_direction_meaning_score,college_work_resilience_score,campus_seen_supported_score,emotionally_steady_score,hopeful_future_score,clear_values_score,life_depth_moments_score,cheerful_spirits_score,college_growth_score,academic_wellbeing_score,school_time_energy_score,faculty_staff_support_score,people_to_turn_to_score,know_support_resources_score,focus_place_score,enough_sleep_score,parent_caregiver_support_score,enjoyable_company_score,feels_alone_score,phone_social_media_interference_score,physical_activity_score,alcohol_cannabis_social_coping_score,money_stress_score,study_hours_outside_class_score,major_confidence_score,spring_credits_score,paid_work_hours_score,wellbeing_index,school_support_index
67,A,A,A,A,A,N,A,A,A,A,Mental stress,N,A,A,A,N,N,NA,S,S,VO,O,Nvr,None,under 5 hours,Enjoy life,22 to 25,Second year,Prefer not,Prefer not,Prefer not,Associate,Health professions,Some conf.,15 or more credits,Equal,0 hours,4,4,4,4,4,3,4,4,4,4,3,4,4,4,3,3,,2,2,4,3,0,0,1,4,5,0,3.88,3.5
68,N,SA,A,N,A,A,A,A,A,A,Mental stress,N,A,A,A,D,D,A,O,S,R,S,Nvr,Ext,5 to 10 hours,Money,22 to 25,First year,Woman,Multiracial,No,Associate,Health professions,Very conf.,12 to 14 credits,All/mostly in-person,0 hours,3,5,4,3,4,4,4,4,4,4,3,4,4,4,2,2,4,3,2,1,2,0,4,2,5,4,0,3.88,3.29
69,A,A,SA,A,A,A,N,A,A,A,Work,N,SA,A,A,D,D,N,S,R,O,VO,Nvr,Very,under 5 hours,Future,22 to 25,Third+,Woman,Latino/Hispanic,No,Transfer,Business,Some conf.,9 to 11 credits,All/mostly in-person,20 to 29 hours,4,4,5,4,4,4,3,4,4,4,3,5,4,4,2,2,3,2,1,3,4,0,3,1,4,3,3,4.0,3.29
70,A,A,A,A,A,A,A,A,N,N,Nothing,A,A,A,A,A,N,SA,O,R,O,VO,Nvr,Mod,5 to 10 hours,Mental well-being,18 or 19,First year,Man,White,Yes,Transfer,Business,Some conf.,15 or more credits,More in-person,0 hours,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,3,5,3,1,3,4,0,2,2,4,5,0,4.0,4.0
71,N,A,N,A,N,A,SA,A,A,A,Motivation,A,N,A,A,A,N,SA,S,S,O,S,Nvr,Mod,5 to 10 hours,School,18 or 19,Second year,Woman,East Asian,Not sure,Transfer,Health professions,Very conf.,15 or more credits,Equal,0 hours,3,4,3,4,3,4,5,4,4,4,4,3,4,4,4,3,5,2,2,3,2,0,2,2,5,5,0,3.75,3.86
72,SA,SA,N,SA,SA,SA,SA,SA,A,A,Motivation,N,N,SA,N,SA,A,NA,VO,R,S,VO,R,Slight,11 to 19 hours,Enjoy life,Prefer not,First year,Man,Latino/Hispanic,No,Transfer,Business,Very conf.,12 to 14 credits,Equal,30 or more hours,5,5,3,5,5,5,5,5,4,4,3,3,5,3,5,4,,4,1,2,4,1,1,3,5,4,4,4.75,3.83
73,A,A,N,A,A,SA,N,N,N,A,Work,D,N,A,N,SA,A,A,O,S,VO,VO,Nvr,Mod,5 to 10 hours,Future,18 or 19,Second year,Man,South Asian,No,Associate,Undecided,Unsure,12 to 14 credits,More in-person,10 to 19 hours,4,4,3,4,4,5,3,3,3,4,2,3,4,3,5,4,4,3,2,4,4,0,2,2,3,4,2,3.75,3.57
74,A,N,A,N,A,A,SA,N,A,A,Work,N,N,A,N,A,A,SA,S,R,O,S,S,Slight,5 to 10 hours,School,18 or 19,Second year,Woman,East Asian,Yes,Transfer,STEM,Unsure,12 to 14 credits,More in-person,10 to 19 hours,4,3,4,3,4,4,5,3,4,4,3,3,4,3,4,4,5,2,1,3,2,2,1,2,3,4,2,3.75,3.71
75,N,D,A,N,D,D,SA,A,SA,SD,Mental stress,D,A,SA,N,SA,N,A,VO,S,VO,VO,R,Ext,under 5 hours,Enjoy life,18 or 19,First year,Woman,East Asian,No,Transfer,Social sciences,Very conf.,1 to 5 credits,All/mostly in-person,20 to 29 hours,3,2,4,3,2,2,5,4,5,1,2,4,5,3,5,3,4,4,2,4,4,1,4,1,5,1,3,3.12,3.71
76,A,A,A,N,A,A,SA,N,A,N,Teaching,N,SA,N,A,SA,A,SA,O,S,S,R,Nvr,Very,20 or more hours,School,18 or 19,First year,Woman,MENA,Not sure,Transfer,Health professions,Unsure,15 or more credits,Equal,0 hours,4,4,4,3,4,4,5,3,4,3,3,5,3,4,5,4,5,3,2,2,1,0,3,4,3,5,0,3.88,4.14
77,A,A,A,A,A,A,A,D,A,A,Mental stress,N,A,D,A,N,D,N,R,S,O,R,Nvr,Mod,5 to 10 hours,Mental well-being,20 or 21,First year,Woman,MENA,No,Transfer,Health professions,Some conf.,12 to 14 credits,Equal,0 hours,4,4,4,4,4,4,4,2,4,4,3,4,2,4,3,2,3,1,2,3,1,0,2,2,4,4,0,3.75,3.0
78,A,A,N,D,A,A,A,N,A,N,Mental stress,N,A,A,A,A,D,D,O,S,O,O,R,Ext,5 to 10 hours,Mental well-being,20 or 21,Second year,Man,Latino/Hispanic,No,Transfer,Social sciences,Some conf.,12 to 14 credits,More online,20 to 29 hours,4,4,3,2,4,4,4,3,4,3,3,4,4,4,4,2,2,3,2,3,3,1,4,2,4,4,3,3.5,3.29
79,A,A,A,SA,SA,A,SA,SA,SA,A,Motivation,N,N,SA,N,A,SA,SA,O,S,O,S,Nvr,None,20 or more hours,Future,17 or younger,Prefer not,Woman,South Asian,Yes,Other,Humanities,Very conf.,6 to 8 credits,Equal,1 to 9 hours,4,4,4,5,5,4,5,5,5,4,3,3,5,3,4,5,5,3,2,3,2,0,0,4,5,2,1,4.5,4.0
80,A,A,N,N,A,A,SA,SA,N,A,Not prepared,A,N,N,A,D,D,A,VO,S,VO,S,Nvr,Mod,under 5 hours,Future,18 or 19,Second year,Woman,Black/African Am.,No,Transfer,Arts/creative,Not conf.,15 or more credits,All/mostly online,20 to 29 hours,4,4,3,3,4,4,5,5,3,4,4,3,3,4,2,2,4,4,2,4,2,0,2,1,1,5,3,4.0,3.14
81,A,N,D,N,A,D,SA,D,N,A,Motivation,N,N,D,D,N,N,A,S,O,VO,S,Nvr,Mod,under 5 hours,Money,20 or 21,Second year,Man,South Asian,Yes,Transfer,STEM,Low conf.,1 to 5 credits,All/mostly in-person,10 to 19 hours,4,3,2,3,4,2,5,2,3,4,3,3,2,2,3,3,4,2,3,4,2,0,2,1,2,1,2,3.12,2.86
82,A,A,N,A,A,A,A,N,A,A,Motivation,N,N,A,A,A,A,A,VO,S,VO,O,R,Mod,5 to 10 hours,Mental well-being,18 or 19,First year,Woman,Latino/Hispanic,No,Transfer,Health professions,Very conf.,9 to 11 credits,More online,20 to 29 hours,4,4,3,4,4,4,4,3,4,4,3,3,4,4,4,4,4,4,2,4,3,1,2,2,5,3,3,3.75,3.71
83,N,A,A,A,D,D,A,A,A,N,Motivation,A,A,A,A,A,D,A,S,S,O,O,R,None,5 to 10 hours,School,18 or 19,First year,Man,Latino/Hispanic,Yes,Transfer,STEM,Low conf.,12 to 14 credits,More online,1 to 9 hours,3,4,4,4,2,2,4,4,4,3,4,4,4,4,4,2,4,2,2,3,3,1,0,2,2,4,1,3.38,3.71
84,SA,A,SA,SD,A,A,A,D,SA,D,Mental stress,D,A,SA,A,A,SD,A,VO,S,O,S,Nvr,Ext,20 or more hours,School,20 or 21,Second year,Woman,East Asian,Yes,Transfer,STEM,Very conf.,15 or more credits,Equal,1 to 9 hours,5,4,5,1,4,4,4,2,5,2,2,4,5,4,4,1,4,4,2,3,2,0,4,4,5,5,1,3.62,3.43
85,N,A,A,A,N,A,A,A,N,SA,Low energy,N,A,A,N,A,N,NA,VO,R,O,S,R,Slight,under 5 hours,Future,18 or 19,First year,Woman,East Asian,Yes,Transfer,Business,Some conf.,15 or more credits,More online,20 to 29 hours,3,4,4,4,3,4,4,4,3,5,3,4,4,3,4,3,,4,1,3,2,1,1,1,4,5,3,3.75,3.5
86,N,A,A,N,N,A,SA,D,A,A,Motivation,N,A,A,A,A,N,A,S,S,VO,R,R,Mod,11 to 19 hours,Future,18 or 19,First year,Woman,Black/African Am.,Yes,Transfer,Social sciences,Unsure,9 to 11 credits,Equal,0 hours,3,4,4,3,3,4,5,2,4,4,3,4,4,4,4,3,4,2,2,4,1,1,2,3,3,3,0,3.5,3.71
87,A,A,N,A,A,A,N,A,A,A,Not prepared,A,N,A,A,A,N,A,O,S,S,S,Nvr,None,under 5 hours,Money,20 or 21,Second year,Woman,East Asian,Yes,Transfer,STEM,Some conf.,12 to 14 credits,Equal,0 hours,4,4,3,4,4,4,3,4,4,4,4,3,4,4,4,3,4,3,2,2,2,0,0,1,4,4,0,3.75,3.71
88,N,A,A,A,N,A,N,A,A,D,Family/care,N,A,A,N,A,N,A,O,S,S,O,O,Mod,5 to 10 hours,Friends/relations,20 or 21,Third+,Woman,Latino/Hispanic,Yes,Transfer,Business,Unsure,1 to 5 credits,Equal,1 to 9 hours,3,4,4,4,3,4,3,4,4,2,3,4,4,3,4,3,4,3,2,2,3,3,2,2,3,1,1,3.62,3.57
89,N,N,A,D,A,A,A,N,N,N,Teaching,,SD,A,A,A,A,A,O,O,S,S,VO,Prefer not,20 or more hours,Friends/relations,18 or 19,First year,Woman,South Asian,Not sure,Associate,Health professions,Unsure,9 to 11 credits,All/mostly in-person,0 hours,3,3,4,2,4,4,4,3,3,3,,1,4,4,4,4,4,3,3,2,2,4,,4,3,3,0,3.38,3.5
90,D,SD,N,D,D,SA,N,SD,D,SD,Work,SD,N,A,A,D,SD,D,S,R,R,O,R,Ext,11 to 19 hours,Money,18 or 19,First year,Man,East Asian,No,Transfer,Business,Some conf.,15 or more credits,All/mostly in-person,30 or more hours,2,1,3,2,2,5,3,1,2,1,1,3,4,4,2,1,2,2,1,1,3,1,4,3,4,5,4,2.38,2.43
91,A,N,N,N,A,A,A,D,A,A,Motivation,N,N,SA,D,D,D,A,O,S,O,R,O,Very,5 to 10 hours,School,20 or 21,First year,Man,White,Yes,Transfer,Social sciences,Some conf.,15 or more credits,Equal,0 hours,4,3,3,3,4,4,4,2,4,4,3,3,5,2,2,2,4,3,2,3,1,3,3,2,4,5,0,3.38,3.0
92,SA,SA,SA,A,SA,A,A,N,SA,SA,Motivation,A,SA,SA,SA,SA,D,SA,S,O,VO,S,Nvr,Ext,5 to 10 hours,Mental well-being,26 or older,Second year,Man,East Asian,No,Transfer,Social sciences,Some conf.,9 to 11 credits,All/mostly in-person,10 to 19 hours,5,5,5,4,5,4,4,3,5,5,4,5,5,5,5,2,5,2,3,4,2,0,4,2,4,3,2,4.38,4.43
93,D,N,SA,D,N,A,A,D,A,D,Motivation,D,SA,A,D,N,D,A,O,S,VO,O,Nvr,Slight,under 5 hours,School,18 or 19,First year,Man,Multiracial,Yes,Transfer,Social sciences,Low conf.,15 or more credits,More in-person,0 hours,2,3,5,2,3,4,4,2,4,2,2,5,4,2,3,2,4,3,2,4,3,0,1,1,2,5,0,3.12,3.14
94,SD,SD,SD,D,SD,SD,A,D,D,SD,Mental stress,N,SD,A,SD,A,SD,A,O,VO,VO,R,S,Slight,5 to 10 hours,Future,18 or 19,First year,Woman,East Asian,Yes,Undecided,Health professions,Low conf.,6 to 8 credits,Equal,20 to 29 hours,1,1,1,2,1,1,4,2,2,1,3,1,4,1,4,1,4,3,4,4,1,2,1,2,2,2,3,1.62,2.57
95,A,A,SA,A,SA,A,SA,A,SA,N,Motivation,N,SA,A,SA,A,A,SA,VO,S,O,S,O,None,5 to 10 hours,Enjoy life,22 to 25,Third+,Woman,White,Not sure,Transfer,Arts/creative,Unsure,6 to 8 credits,All/mostly online,0 hours,4,4,5,4,5,4,5,4,5,3,3,5,4,5,4,4,5,4,2,3,2,3,0,2,3,2,0,4.38,4.29
96,D,N,A,D,D,N,A,N,A,D,Motivation,N,A,A,A,A,D,A,S,O,S,R,Nvr,Slight,5 to 10 hours,School,18 or 19,First year,Woman,South Asian,Yes,Transfer,Health professions,Some conf.,15 or more credits,More in-person,1 to 9 hours,2,3,4,2,2,3,4,3,4,2,3,4,4,4,4,2,4,2,3,2,1,0,1,2,4,5,1,2.88,3.57
97,D,N,A,N,N,A,A,N,A,N,Mental stress,N,A,A,SA,A,N,SA,O,S,S,R,R,Mod,under 5 hours,Mental well-being,20 or 21,Third+,Woman,East Asian,No,Transfer,Business,Some conf.,9 to 11 credits,All/mostly online,10 to 19 hours,2,3,4,3,3,4,4,3,4,3,3,4,4,5,4,3,5,3,2,2,1,1,2,1,4,3,2,3.25,4.0
98,D,A,D,A,N,SA,N,N,N,A,Motivation,SA,D,SA,D,SD,A,N,S,S,S,O,R,Mod,5 to 10 hours,Future,18 or 19,First year,Man,East Asian,Yes,Transfer,Business,Some conf.,15 or more credits,More in-person,10 to 19 hours,2,4,2,4,3,5,3,3,3,4,5,2,5,2,1,4,3,2,2,2,3,1,2,2,4,5,2,3.25,3.14
99,SA,A,A,A,SA,SA,A,A,SA,SA,Mental stress,A,N,A,N,A,N,D,VO,R,S,S,Nvr,Slight,5 to 10 hours,School,20 or 21,Third+,Woman,Latino/Hispanic,No,Associate,STEM,Very conf.,12 to 14 credits,All/mostly in-person,10 to 19 hours,5,4,4,4,5,5,4,4,5,5,4,3,4,3,4,3,2,4,1,2,2,0,1,2,5,4,2,4.38,3.29
100,A,D,A,A,A,A,N,A,A,A,Not prepared,A,A,A,A,A,D,A,O,R,O,R,Nvr,Slight,under 5 hours,Money,20 or 21,Third+,Man,MENA,No,Transfer,STEM,Some conf.,9 to 11 credits,All/mostly in-person,20 to 29 hours,4,2,4,4,4,4,3,4,4,4,4,4,4,4,4,2,4,3,1,3,1,0,1,1,4,3,3,3.62,3.71
101,A,A,SA,N,N,A,A,D,A,A,Mental stress,A,N,N,D,SA,SA,SA,O,S,S,O,Nvr,Very,20 or more hours,Money,18 or 19,Second year,Man,East Asian,Yes,Transfer,STEM,Unsure,15 or more credits,Equal,0 hours,4,4,5,3,3,4,4,2,4,4,4,3,3,2,5,5,5,3,2,2,3,0,3,4,3,5,0,3.62,3.86
102,SA,N,SA,A,SA,SA,SA,SA,SA,A,Motivation,A,A,SA,SA,A,N,SA,VO,R,VO,O,Nvr,Mod,under 5 hours,Friends/relations,20 or 21,Third+,Man,Latino/Hispanic,No,Transfer,STEM,Very conf.,12 to 14 credits,More in-person,10 to 19 hours,5,3,5,4,5,5,5,5,5,4,4,4,5,5,4,3,5,4,1,4,3,0,2,1,5,4,2,4.62,4.29
103,A,A,A,N,A,A,A,A,A,A,Motivation,A,A,A,A,A,N,SA,O,R,S,O,Nvr,Slight,5 to 10 hours,Friends/relations,20 or 21,Second year,Woman,East Asian,Yes,Transfer,STEM,Some conf.,15 or more credits,All/mostly in-person,1 to 9 hours,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,5,3,1,2,3,0,1,2,4,5,1,3.88,4.0
104,N,N,A,N,N,A,N,D,A,N,Low energy,A,A,N,N,A,D,A,R,O,Nvr,O,Prefer not,Very,5 to 10 hours,Other,26 or older,Third+,Man,White,Yes,Undecided,Undecided,Unsure,6 to 8 credits,All/mostly in-person,30 or more hours,3,3,4,3,3,4,3,2,4,3,4,4,3,3,4,2,4,1,3,0,3,,3,2,3,2,4,3.12,3.43
105,A,A,N,A,N,A,A,N,A,A,Family/care,N,A,A,A,A,N,A,S,S,S,S,Nvr,Slight,11 to 19 hours,Family,26 or older,First year,Woman,East Asian,No,Associate,Health professions,Some conf.,9 to 11 credits,All/mostly in-person,0 hours,4,4,3,4,3,4,4,3,4,4,3,4,4,4,4,3,4,2,2,2,2,0,1,3,4,3,0,3.62,3.71
106,A,A,SA,A,A,A,A,N,SA,A,Low energy,A,A,SA,SA,SA,A,SA,O,R,R,O,R,Prefer not,5 to 10 hours,Mental well-being,20 or 21,First year,Woman,White,Yes,Transfer,STEM,Some conf.,12 to 14 credits,All/mostly in-person,0 hours,4,4,5,4,4,4,4,3,5,4,4,4,5,5,5,4,5,3,1,1,3,1,,2,4,4,0,4.0,4.57
107,A,A,A,A,A,A,A,N,A,N,Low energy,N,A,A,A,N,N,N,O,R,R,S,Nvr,Mod,11 to 19 hours,Money,18 or 19,First year,Woman,East Asian,No,Transfer,Social sciences,Very conf.,15 or more credits,Equal,10 to 19 hours,4,4,4,4,4,4,4,3,4,3,3,4,4,4,3,3,3,3,1,1,2,0,2,3,5,5,2,3.88,3.43
108,N,A,A,D,A,SA,SA,D,N,A,Mental stress,A,A,A,SA,A,N,SA,S,S,O,R,Nvr,Prefer not,5 to 10 hours,School,20 or 21,Second year,Woman,South Asian,Not sure,Transfer,Social sciences,Some conf.,15 or more credits,More online,0 hours,3,4,4,2,4,5,5,2,3,4,4,4,4,5,4,3,5,2,2,3,1,0,,2,4,5,0,3.62,4.14
109,SA,A,A,A,A,A,A,N,A,A,Motivation,A,SA,A,A,D,A,N,S,R,O,R,Nvr,Mod,under 5 hours,Enjoy life,20 or 21,Second year,Woman,East Asian,Yes,Transfer,Social sciences,Some conf.,1 to 5 credits,All/mostly in-person,1 to 9 hours,5,4,4,4,4,4,4,3,4,4,4,5,4,4,2,4,3,2,1,3,1,0,2,1,4,1,1,4.0,3.71
110,A,A,A,SA,A,A,SA,N,A,SA,Motivation,A,SA,SA,SA,SA,SA,SA,O,R,VO,VO,S,Mod,11 to 19 hours,School,18 or 19,Second year,Man,East Asian,Yes,Transfer,Business,Some conf.,12 to 14 credits,All/mostly in-person,10 to 19 hours,4,4,4,5,4,4,5,3,4,5,4,5,5,5,5,5,5,3,1,4,4,2,2,3,4,4,2,4.12,4.86
111,A,N,A,N,SA,SA,A,A,SA,A,Mental stress,A,SA,SA,SA,A,D,SD,VO,R,R,O,Nvr,Mod,20 or more hours,Family,26 or older,Second year,Woman,Black/African Am.,No,Transfer,Social sciences,Very conf.,15 or more credits,All/mostly online,0 hours,4,3,4,3,5,5,4,4,5,4,4,5,5,5,4,2,1,4,1,1,3,0,2,4,5,5,0,4.0,3.71
112,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,Nothing,SA,SA,SA,SA,SA,SA,SA,VO,Nvr,Nvr,VO,Nvr,Mod,20 or more hours,School,26 or older,Third+,Man,White,No,Transfer,Business,Very conf.,15 or more credits,All/mostly online,10 to 19 hours,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,0,0,4,0,2,4,5,5,2,5.0,5.0
113,A,A,N,A,A,A,SA,N,N,A,Mental stress,A,N,A,N,A,SA,SA,O,R,S,O,Nvr,Mod,11 to 19 hours,School,18 or 19,First year,Man,East Asian,Yes,Transfer,Business,Some conf.,15 or more credits,More in-person,0 hours,4,4,3,4,4,4,5,3,3,4,4,3,4,3,4,5,5,3,1,2,3,0,2,3,4,5,0,3.88,4.0
114,N,D,A,N,N,D,N,D,N,D,Mental stress,D,SD,A,A,N,N,A,VO,S,S,S,Nvr,Slight,5 to 10 hours,Mental well-being,18 or 19,First year,Woman,White,Not sure,Associate,Arts/creative,Very conf.,6 to 8 credits,All/mostly in-person,0 hours,3,2,4,3,3,2,3,2,3,2,2,1,4,4,3,3,4,4,2,2,2,0,1,2,5,2,0,2.75,3.0
115,A,N,A,N,A,A,A,N,A,A,Motivation,N,A,N,A,N,D,D,S,R,R,S,R,Mod,5 to 10 hours,Money,22 to 25,First year,Man,Latino/Hispanic,No,Associate,Undecided,Unsure,9 to 11 credits,All/mostly in-person,10 to 19 hours,4,3,4,3,4,4,4,3,4,4,3,4,3,4,3,2,2,2,1,1,2,1,2,2,3,3,2,3.62,3.0
116,A,A,N,A,A,A,N,A,SA,SA,Family/care,A,A,A,A,A,D,SA,O,S,O,S,Nvr,Slight,11 to 19 hours,School,26 or older,Third+,Man,East Asian,No,Transfer,Health professions,Some conf.,9 to 11 credits,More online,10 to 19 hours,4,4,3,4,4,4,3,4,5,5,4,4,4,4,4,2,5,3,2,3,2,0,1,3,4,3,2,3.75,3.86
117,A,SA,SA,A,SA,A,SA,A,SA,A,Nothing,A,SA,SA,SA,SA,A,SA,O,Nvr,S,VO,Nvr,None,11 to 19 hours,School,18 or 19,First year,Man,White,Yes,Transfer,Business,Some conf.,15 or more credits,All/mostly in-person,0 hours,4,5,5,4,5,4,5,4,5,4,4,5,5,5,5,4,5,3,0,2,4,0,0,3,4,5,0,4.5,4.71
118,A,A,A,N,SA,N,SA,SA,SA,A,Motivation,A,SA,SA,A,A,A,SA,O,S,VO,S,Nvr,None,5 to 10 hours,Future,18 or 19,First year,Woman,Latino/Hispanic,Yes,Transfer,Social sciences,Unsure,15 or more credits,Equal,0 hours,4,4,4,3,5,3,5,5,5,4,4,5,5,4,4,4,5,3,2,4,2,0,0,2,3,5,0,4.12,4.43
119,SA,SA,SA,SA,SA,SA,A,SA,SA,SA,Work,A,SA,SA,SA,SA,N,SA,VO,S,Nvr,O,R,None,,Money,26 or older,First year,Woman,Latino/Hispanic,No,Transfer,Humanities,Very conf.,15 or more credits,All/mostly online,30 or more hours,5,5,5,5,5,5,4,5,5,5,4,5,5,5,5,3,5,4,2,0,3,1,0,,5,5,4,4.88,4.57
120,A,A,N,N,SA,SA,D,D,N,A,Mental stress,SA,N,D,N,SA,N,D,R,O,VO,R,Nvr,Prefer not,5 to 10 hours,School,18 or 19,Second year,Woman,Multiracial,Yes,Transfer,Social sciences,Very conf.,12 to 14 credits,Equal,0 hours,4,4,3,3,5,5,2,2,3,4,5,3,2,3,5,3,2,1,3,4,1,0,,2,5,4,0,3.5,3.29
121,A,A,A,A,SA,A,A,A,A,A,Teaching,A,A,SA,SA,SA,A,SA,VO,Nvr,S,O,Nvr,Slight,5 to 10 hours,Future,18 or 19,First year,Woman,Latino/Hispanic,No,Associate,Business,Very conf.,12 to 14 credits,Equal,1 to 9 hours,4,4,4,4,5,4,4,4,4,4,4,4,5,5,5,4,5,4,0,2,3,0,1,2,5,4,1,4.12,4.57
122,SA,A,N,A,A,SA,SA,SA,SA,D,Mental stress,D,SD,N,A,A,SD,N,VO,O,VO,VO,Nvr,None,11 to 19 hours,School,20 or 21,Third+,Woman,Latino/Hispanic,No,Transfer,Health professions,Very conf.,15 or more credits,More online,20 to 29 hours,5,4,3,4,4,5,5,5,5,2,2,1,3,4,4,1,3,4,3,4,4,0,0,3,5,5,3,4.38,2.57
123,N,A,N,A,N,SA,A,A,A,A,Mental stress,N,D,A,A,N,D,SA,O,R,S,O,Nvr,Very,20 or more hours,Future,18 or 19,First year,Woman,South Asian,No,Associate,Health professions,Some conf.,15 or more credits,Equal,10 to 19 hours,3,4,3,4,3,5,4,4,4,4,3,2,4,4,3,2,5,3,1,2,3,0,3,4,4,5,2,3.75,3.29
124,SA,A,SA,SA,SA,A,A,SA,SA,A,Family/care,A,A,A,A,A,SA,SA,VO,Nvr,S,O,Nvr,Mod,5 to 10 hours,School,26 or older,Third+,Man,East Asian,No,Transfer,Health professions,Some conf.,12 to 14 credits,All/mostly in-person,10 to 19 hours,5,4,5,5,5,4,4,5,5,4,4,4,4,4,4,5,5,4,0,2,3,0,2,2,4,4,2,4.62,4.29
125,A,A,N,A,N,SA,A,N,A,A,Not prepared,A,N,SA,A,N,SD,SA,VO,R,Nvr,S,O,Slight,5 to 10 hours,School,18 or 19,First year,Man,Latino/Hispanic,No,Associate,STEM,Some conf.,12 to 14 credits,All/mostly in-person,0 hours,4,4,3,4,3,5,4,3,4,4,4,3,5,4,3,1,5,4,1,0,2,3,1,2,4,4,0,3.75,3.57
126,N,A,A,D,D,N,A,D,N,SA,Mental stress,SA,N,N,N,A,N,D,S,S,S,R,R,Slight,11 to 19 hours,Future,22 to 25,Second year,Man,Multiracial,Yes,Transfer,STEM,Very conf.,9 to 11 credits,More online,0 hours,3,4,4,2,2,3,4,2,3,5,5,3,3,3,4,3,2,2,2,2,1,1,1,3,5,3,0,3.0,3.29
127,A,A,A,D,D,A,A,D,A,A,Work,D,A,D,A,D,N,D,S,O,S,O,O,Ext,11 to 19 hours,Money,26 or older,Third+,Woman,White,No,Associate,Arts/creative,Very conf.,12 to 14 credits,All/mostly in-person,1 to 9 hours,4,4,4,2,2,4,4,2,4,4,2,4,2,4,2,3,2,2,3,2,3,3,4,3,5,4,1,3.25,2.71
128,SA,D,D,D,A,A,A,D,A,A,Mental stress,D,D,N,D,D,D,A,S,S,VO,R,R,Ext,5 to 10 hours,Future,22 to 25,Third+,Man,Latino/Hispanic,No,Transfer,Arts/creative,Some conf.,15 or more credits,All/mostly online,20 to 29 hours,5,2,2,2,4,4,4,2,4,4,2,2,3,2,2,2,4,2,2,4,1,1,4,2,4,5,3,3.12,2.43
129,D,D,A,N,A,A,A,N,A,A,Motivation,N,A,A,A,A,D,A,S,R,O,R,Nvr,Slight,under 5 hours,Mental well-being,20 or 21,Third+,Man,White,Yes,Transfer,Humanities,Not conf.,6 to 8 credits,All/mostly in-person,0 hours,2,2,4,3,4,4,4,3,4,4,3,4,4,4,4,2,4,2,1,3,1,0,1,1,1,2,0,3.25,3.57
130,N,A,A,A,N,A,A,N,A,N,Work,A,A,A,A,A,N,NA,S,S,S,S,R,Ext,11 to 19 hours,Money,26 or older,Third+,Woman,White,Not sure,Transfer,Arts/creative,Low conf.,12 to 14 credits,More in-person,10 to 19 hours,3,4,4,4,3,4,4,3,4,3,4,4,4,4,4,3,,2,2,2,2,1,4,3,2,4,2,3.62,3.83
131,SA,A,SA,SA,SA,SA,A,SA,A,N,Not prepared,A,SA,SA,SA,SA,SA,SD,O,Nvr,Nvr,O,Nvr,Mod,20 or more hours,School,18 or 19,First year,Man,Latino/Hispanic,No,Transfer,Social sciences,Unsure,12 to 14 credits,More in-person,0 hours,5,4,5,5,5,5,4,5,4,3,4,5,5,5,5,5,1,3,0,0,3,0,2,4,3,4,0,4.75,4.29
132,N,N,A,N,N,A,N,N,N,N,Low energy,N,A,A,N,A,N,N,S,S,R,S,Nvr,Prefer not,5 to 10 hours,School,20 or 21,Third+,Woman,Prefer not,Prefer not,Transfer,Arts/creative,Some conf.,6 to 8 credits,More in-person,1 to 9 hours,3,3,4,3,3,4,3,3,3,3,3,4,4,3,4,3,3,2,2,1,2,0,,2,4,2,1,3.25,3.43
133,SA,A,A,A,SA,SA,SA,A,A,A,Family/care,A,N,SA,SA,A,N,A,VO,S,O,R,Nvr,Very,11 to 19 hours,Money,18 or 19,First year,Woman,Latino/Hispanic,Not sure,Associate,Humanities,Very conf.,12 to 14 credits,More online,0 hours,5,4,4,4,5,5,5,4,4,4,4,3,5,5,4,3,4,4,2,3,1,0,3,3,5,4,0,4.5,4.0
134,D,D,N,D,N,A,N,N,N,N,Not prepared,D,N,N,N,D,D,N,S,S,S,S,Nvr,Slight,under 5 hours,Money,26 or older,Prefer not,Woman,Latino/Hispanic,No,Associate,Social sciences,Some conf.,12 to 14 credits,Equal,20 to 29 hours,2,2,3,2,3,4,3,3,3,3,2,3,3,3,2,2,3,2,2,2,2,0,1,1,4,4,3,2.75,2.57
135,N,N,A,D,N,A,N,D,A,N,Not prepared,N,N,A,A,SA,N,SA,S,O,S,R,Nvr,Very,5 to 10 hours,School,18 or 19,Prefer not,Prefer not,Prefer not,Yes,Transfer,Humanities,Some conf.,12 to 14 credits,More in-person,0 hours,3,3,4,2,3,4,3,2,4,3,3,3,4,4,5,3,5,2,3,2,1,0,3,2,4,4,0,3.0,3.86
