student_id,life_direction_meaning,college_work_resilience,campus_seen_supported,emotionally_steady,hopeful_future,clear_values,life_depth_moments,cheerful_spirits,college_growth,academic_wellbeing,biggest_challenge,biggest_challenge_other_text,school_time_energy,faculty_staff_support,people_to_turn_to,know_support_resources,focus_place,enough_sleep,parent_caregiver_support,enjoyable_company,feels_alone,phone_social_media_interference,physical_activity,alcohol_cannabis_social_coping,money_stress,study_hours_outside_class,life_priority,life_priority_other_text,age_group,college_stage,gender,gender_other_text,race_ethnicity,race_ethnicity_other_text,parent_four_year_college,college_goal,college_goal_other_text,major_field,major_field_other_text,major_confidence,spring_credits,class_modality,paid_work_hours,life_direction_meaning_score,college_work_resilience_score,campus_seen_supported_score,emotionally_steady_score,hopeful_future_score,clear_values_score,life_depth_moments_score,cheerful_spirits_score,college_growth_score,academic_wellbeing_score,school_time_energy_score,faculty_staff_support_score,people_to_turn_to_score,know_support_resources_score,focus_place_score,enough_sleep_score,parent_caregiver_support_score,enjoyable_company_score,feels_alone_score,phone_social_media_interference_score,physical_activity_score,alcohol_cannabis_social_coping_score,money_stress_score,study_hours_outside_class_score,major_confidence_score,spring_credits_score,paid_work_hours_score,wellbeing_index,school_support_index
46,Strongly agree,Agree,Agree,Neither agree nor disagree,Strongly agree,Strongly agree,Agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Mental health/emotional stress,,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Very often,Rarely,Often,Sometimes,Sometimes,Extreme,5-10 hours,Enjoying life,,18-19,First year,Woman,,Southeast Asian,,No,Transfer,,Health professions,,Somewhat confident,12-14 credits,More online,10-19 hours,5,4,4,3,5,5,4,3,5,3,3,3,5,3,4,3,4,4,1,3,2,2,4,2,4,4,2,4.1,3.57
47,Strongly agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Agree,Agree,Neither agree nor disagree,Agree,Motivation/discipline,,Neither agree nor disagree,Agree,Agree,Disagree,Disagree,Strongly agree,Agree,Often,Sometimes,Sometimes,Very often,Often,Slight,5-10 hours,Financial stability,,22-25,First year,Woman,,East Asian,,Yes,Transfer,,STEM,,Somewhat confident,15+ credits,About equal,20-29 hours,5,4,3,3,5,5,4,4,3,4,3,4,4,2,2,5,4,3,2,2,4,3,1,2,4,5,3,4.0,3.43
48,Agree,Agree,Agree,,Agree,Agree,Agree,Agree,Agree,Agree,Motivation/discipline,,Agree,Agree,Agree,Strongly agree,Agree,Disagree,Strongly agree,Often,Rarely,Sometimes,Often,Rarely,Slight,5-10 hours,Financial stability,,18-19,First year,Woman,,Latino/Hispanic,,No,Transfer,,Social sciences,,Somewhat confident,15+ credits,All/mostly in-person,20-29 hours,4,4,4,,4,4,4,4,4,4,4,4,4,5,4,2,5,3,1,2,3,1,1,2,4,5,3,4.0,4.0
49,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Motivation/discipline,,Neither agree nor disagree,Disagree,Strongly agree,Agree,Agree,Disagree,Strongly disagree,Very often,Rarely,Sometimes,Very often,Never,Slight,11-19 hours,Enjoying life,,Prefer not to say,First year,Man,,Latino/Hispanic,,No,Transfer,,Business,,Very confident,12-14 credits,About equal,30+ hours,4,4,4,4,4,4,4,4,4,4,3,2,5,4,4,2,1,4,1,2,4,0,1,3,5,4,4,4.0,3.0
50,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Strongly agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Motivation/discipline,,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Very often,Sometimes,Often,Often,Never,Slight,11-19 hours,Friendships or relationships,,18-19,Third year or beyond,Man,,South Asian,,Yes,Transfer,,STEM,,Very confident,15+ credits,More in-person,0 hours,3,4,3,4,5,4,3,3,3,4,3,5,5,5,4,4,5,4,2,3,3,0,1,3,5,5,0,3.6,4.43
51,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Motivation/discipline,,Neither agree nor disagree,Strongly agree,Agree,Agree,Agree,Strongly disagree,Neither agree nor disagree,Sometimes,Rarely,Very often,Never,Never,Slight,<5 hours,Doing well in school,,20-21,Third year or beyond,Woman,,East Asian,,No,Transfer,,STEM,,Somewhat confident,12-14 credits,All/mostly in-person,1-9 hours,3,2,4,3,3,3,3,3,3,1,3,5,4,4,4,1,3,2,1,4,0,0,1,1,4,4,1,2.8,3.43
52,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Motivation/discipline,,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Very often,Sometimes,Often,Often,Never,Moderate,5-10 hours,Doing well in school,,18-19,First year,Man,,Middle Eastern/North African,,Yes,Transfer,,Business,,Very confident,9-11 credits,All/mostly in-person,0 hours,5,5,4,4,5,5,5,4,5,4,4,5,5,4,4,4,5,4,2,3,3,0,2,2,5,3,0,4.6,4.43
53,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Physical health/low energy,,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Disagree,Often,Sometimes,Rarely,Rarely,Never,Very,5-10 hours,Figuring out my future,,26 or older,Prefer not to say,Woman,,East Asian,,Yes,Other,master program,STEM,,Not very confident,12-14 credits,All/mostly in-person,0 hours,4,4,3,3,4,4,4,2,4,4,3,3,3,4,3,2,2,3,2,1,1,0,3,2,2,4,0,3.6,2.86
54,Agree,Strongly agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Agree,Mental health/emotional stress,,Disagree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Sometimes,Sometimes,Rarely,Sometimes,Never,Very,<5 hours,Enjoying life,,26 or older,First year,Woman,,Southeast Asian,,Yes,Associate degree,,Health professions,,Not very confident,12-14 credits,More in-person,0 hours,4,5,4,3,4,4,4,4,4,4,2,4,3,2,3,3,5,2,2,1,2,0,3,1,2,4,0,4.0,3.14
55,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Physical health/low energy,,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Often,Sometimes,Often,Very often,Often,Very,5-10 hours,Financial stability,,26 or older,Second year,Man,,Black/African American,,Not sure,Transfer,,STEM,,Very confident,12-14 credits,All/mostly in-person,1-9 hours,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,3,2,3,4,3,3,2,5,4,1,4.0,4.14
56,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Neither agree nor disagree,Agree,Motivation/discipline,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Often,Rarely,Often,Often,Rarely,Very,5-10 hours,Figuring out my future,,22-25,First year,Man,,East Asian,,No,Transfer,,STEM,,Somewhat confident,12-14 credits,About equal,0 hours,4,4,4,4,2,2,4,4,3,4,4,4,4,4,4,4,4,3,1,3,3,1,3,2,4,4,0,3.5,4.0
57,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Neither agree nor disagree,Motivation/discipline,,Agree,Agree,Agree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Often,Rarely,Sometimes,Sometimes,Rarely,Prefer not to say,11-19 hours,Figuring out my future,,18-19,Second year,Woman,,East Asian,,No,Transfer,,Business,,Somewhat confident,15+ credits,More online,10-19 hours,4,4,4,4,4,5,4,4,4,3,4,4,4,3,4,2,3,3,1,2,2,1,,3,4,5,2,4.0,3.43
58,Agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Motivation/discipline,,Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Often,Rarely,Sometimes,Sometimes,Never,Not at all,5-10 hours,Mental/emotional well-being,,20-21,Second year,Woman,,East Asian,,Yes,Transfer,,Business,,Somewhat confident,12-14 credits,About equal,1-9 hours,4,4,3,4,4,4,4,4,3,4,4,3,4,4,4,4,4,3,1,2,2,0,0,2,4,4,1,3.8,3.86
59,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Disagree,Disagree,Disagree,Agree,Physical health/low energy,,Strongly disagree,Strongly agree,Agree,Agree,Disagree,Strongly disagree,Agree,Rarely,Sometimes,Very often,Often,Never,Slight,20+ hours,Doing well in school,,18-19,First year,Man,,South Asian,,Not sure,Transfer,,STEM,,Very confident,15+ credits,About equal,0 hours,4,3,3,4,4,3,2,2,2,4,1,5,4,4,2,1,4,1,2,4,3,0,1,4,5,5,0,3.1,3.0
60,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Strongly agree,Agree,Motivation/discipline,,Agree,Strongly agree,Neither agree nor disagree,Disagree,Strongly agree,Agree,Agree,Sometimes,Very often,Very often,Very often,Never,Not at all,5-10 hours,Doing well in school,,17 or younger,Second year,Prefer not to say,,East Asian,,Yes,Transfer,,Business,,Not confident at all,15+ credits,About equal,1-9 hours,4,4,3,4,3,3,3,2,5,4,4,5,3,2,5,4,4,2,4,4,4,0,0,2,1,5,1,3.5,3.86
61,Agree,Disagree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Motivation/discipline,,Agree,Strongly agree,Agree,Agree,Neither agree nor disagree,Disagree,Agree,Sometimes,Sometimes,Very often,Sometimes,Often,Moderate,<5 hours,Enjoying life,,20-21,Second year,Woman,,Southeast Asian,,Yes,Transfer,,STEM,,Somewhat confident,15+ credits,All/mostly in-person,10-19 hours,4,2,5,4,4,4,4,4,4,4,4,5,4,4,3,2,4,2,2,4,2,3,2,1,4,5,2,3.9,3.71
62,Agree,Strongly agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Motivation/discipline,,Agree,Neither agree nor disagree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Very often,Sometimes,Often,Often,Never,Moderate,5-10 hours,Doing well in school,,18-19,First year,Man,,Multiracial,White and Asian,Yes,Other,Just get good grades and pass,Other,Communications,Somewhat confident,12-14 credits,About equal,1-9 hours,4,5,3,4,4,4,4,4,4,4,4,3,5,4,5,4,5,4,2,3,3,0,2,2,4,4,1,4.0,4.29
63,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Motivation/discipline,,Strongly disagree,Strongly agree,Agree,Strongly agree,Agree,Strongly disagree,Neither agree nor disagree,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Extreme,20+ hours,Other,personal growth,20-21,Third year or beyond,Woman,,East Asian,,Yes,Transfer,,Business,,Unsure,15+ credits,About equal,0 hours,4,4,4,4,2,2,4,4,4,2,1,5,4,5,4,1,3,2,2,2,2,1,4,4,3,5,0,3.4,3.29
64,Agree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Strongly disagree,Agree,Neither agree nor disagree,Mental health/emotional stress,,Agree,Neither agree nor disagree,Strongly agree,Agree,Agree,Agree,Strongly agree,Very often,Sometimes,Often,Sometimes,Often,Slight,5-10 hours,Figuring out my future,,18-19,Second year,Man,,South Asian,,Yes,Transfer,,Social sciences,,Somewhat confident,9-11 credits,More in-person,0 hours,4,2,4,2,2,4,4,1,4,3,4,3,5,4,4,4,5,4,2,3,2,3,1,2,4,3,0,3.0,4.14
65,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Family/caregiving responsibilities,,Neither agree nor disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Sometimes,Often,Sometimes,Sometimes,Never,Slight,11-19 hours,Family responsibilities,,26 or older,First year,Woman,,East Asian,,No,Associate degree,,Health professions,,Somewhat confident,9-11 credits,All/mostly in-person,0 hours,4,4,3,4,3,4,4,3,4,4,3,4,4,4,4,2,4,2,3,2,2,0,1,3,4,3,0,3.7,3.57
66,Agree,Agree,Agree,Neither agree nor disagree,Strongly agree,Strongly agree,Agree,Neither agree nor disagree,Agree,Strongly agree,Motivation/discipline,,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly disagree,Agree,Often,Sometimes,Very often,Rarely,Never,Slight,5-10 hours,Other,"Self-improvement, which encompasses a lot of the provided options",18-19,First year,Man,,East Asian,,No,Transfer,,Social sciences,,Very confident,15+ credits,More in-person,0 hours,4,4,4,3,5,5,4,3,4,5,5,5,4,4,5,1,4,3,2,4,1,0,1,2,5,5,0,4.1,4.0
67,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Not prepared for college-level work,,Disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Disagree,Strongly agree,Often,Often,Often,Often,Never,Slight,5-10 hours,Doing well in school,,18-19,First year,Woman,,South Asian,,Yes,Undecided,,Business,,Somewhat confident,12-14 credits,About equal,1-9 hours,4,2,3,3,3,4,4,4,3,3,2,3,4,4,3,2,5,3,3,3,3,0,1,2,4,4,1,3.3,3.29
68,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Mental health/emotional stress,,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Not applicable,Sometimes,Sometimes,Very often,Often,Never,Not at all,<5 hours,Enjoying life,,22-25,Second year,Prefer not to say,,Prefer not to say,,Prefer not to say,Associate degree,,Other,Studying for Vet tech Student/ helping animals,Somewhat confident,15+ credits,About equal,0 hours,4,4,4,4,4,3,4,4,4,4,3,4,4,4,3,3,,2,2,4,3,0,0,1,4,5,0,3.9,3.5
69,Neither agree nor disagree,Strongly agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Agree,Other,Daily stresses and life obsticles,Neither agree nor disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Often,Sometimes,Rarely,Sometimes,Never,Extreme,5-10 hours,Other,Being able to have stability,22-25,First year,Woman,,Multiracial,,No,Other,"associate degree, gain experience, graduate school",Health professions,,Very confident,12-14 credits,All/mostly in-person,0 hours,3,5,4,3,4,4,4,4,4,4,3,4,4,4,2,2,4,3,2,1,2,0,4,2,5,4,0,3.9,3.29
70,Agree,Agree,Strongly agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Other,Financial Stress,Neither agree nor disagree,Strongly agree,Agree,Agree,Disagree,Disagree,Neither agree nor disagree,Sometimes,Rarely,Often,Very often,Never,Very,<5 hours,Figuring out my future,,22-25,Third year or beyond,Woman,,Latino/Hispanic,,No,Transfer,,Business,,Somewhat confident,9-11 credits,All/mostly in-person,20-29 hours,4,4,5,4,4,4,3,4,4,4,3,5,4,4,2,2,3,2,1,3,4,0,3,1,4,3,3,4.0,3.29
71,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Nothing holding me back,,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Strongly agree,Often,Rarely,Often,Very often,Never,Moderate,5-10 hours,Mental/emotional well-being,,18-19,First year,Man,,White,,Yes,Transfer,,Business,,Somewhat confident,15+ credits,More in-person,0 hours,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,3,5,3,1,3,4,0,2,2,4,5,0,3.8,4.0
72,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Strongly agree,Agree,Agree,Agree,Motivation/discipline,,Agree,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Strongly agree,Sometimes,Sometimes,Often,Sometimes,Never,Moderate,5-10 hours,Doing well in school,,18-19,Second year,Woman,,Southeast Asian,,Not sure,Transfer,,Health professions,,Very confident,15+ credits,About equal,0 hours,3,4,3,4,3,4,5,4,4,4,4,3,4,4,4,3,5,2,2,3,2,0,2,2,5,5,0,3.8,3.86
73,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Motivation/discipline,,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Agree,Not applicable,Very often,Rarely,Sometimes,Very often,Rarely,Slight,11-19 hours,Enjoying life,,Prefer not to say,First year,Man,,Latino/Hispanic,,No,Transfer,,Business,,Very confident,12-14 credits,About equal,30+ hours,5,5,3,5,5,5,5,5,4,4,3,3,5,3,5,4,,4,1,2,4,1,1,3,5,4,4,4.6,3.83
74,Agree,Agree,Neither agree nor disagree,Agree,Agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Work responsibilities,,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Strongly agree,Agree,Agree,Often,Sometimes,Very often,Very often,Never,Moderate,5-10 hours,Figuring out my future,,18-19,Second year,Man,,South Asian,,No,Associate degree,,Undecided,,Unsure,12-14 credits,More in-person,10-19 hours,4,4,3,4,4,5,3,3,3,4,2,3,4,3,5,4,4,3,2,4,4,0,2,2,3,4,2,3.7,3.57
75,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Strongly agree,Neither agree nor disagree,Agree,Agree,Work responsibilities,,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Strongly agree,Sometimes,Rarely,Often,Sometimes,Sometimes,Slight,5-10 hours,Doing well in school,,18-19,Second year,Woman,,Southeast Asian,,Yes,Transfer,,STEM,,Unsure,12-14 credits,More in-person,10-19 hours,4,3,4,3,4,4,5,3,4,4,3,3,4,3,4,4,5,2,1,3,2,2,1,2,3,4,2,3.8,3.71
76,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Disagree,Disagree,Strongly agree,Agree,Strongly agree,Strongly disagree,Mental health/emotional stress,,Disagree,Agree,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Agree,Very often,Sometimes,Very often,Very often,Rarely,Extreme,<5 hours,Enjoying life,,18-19,First year,Woman,,Southeast Asian,,No,Transfer,,Social sciences,,Very confident,1-5 credits,All/mostly in-person,20-29 hours,3,2,4,3,2,2,5,4,5,1,2,4,5,3,5,3,4,4,2,4,4,1,4,1,5,1,3,3.1,3.71
77,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Strongly agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Teaching style/quality,,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Agree,Strongly agree,Agree,Strongly agree,Often,Sometimes,Sometimes,Rarely,Never,Very,20+ hours,Doing well in school,,18-19,First year,Woman,,Middle Eastern/North African,,Not sure,Transfer,,Health professions,,Unsure,15+ credits,About equal,0 hours,4,4,4,3,4,4,5,3,4,3,3,5,3,4,5,4,5,3,2,2,1,0,3,4,3,5,0,3.8,4.14
78,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Mental health/emotional stress,,Neither agree nor disagree,Agree,Disagree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Rarely,Sometimes,Often,Rarely,Never,Moderate,5-10 hours,Mental/emotional well-being,,20-21,First year,Woman,,Middle Eastern/North African,,No,Transfer,,Health professions,,Somewhat confident,12-14 credits,About equal,0 hours,4,4,4,4,4,4,4,2,4,4,3,4,2,4,3,2,3,1,2,3,1,0,2,2,4,4,0,3.8,3.0
79,Agree,Agree,Neither agree nor disagree,Disagree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Mental health/emotional stress,,Neither agree nor disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Often,Sometimes,Often,Often,Rarely,Extreme,5-10 hours,Mental/emotional well-being,,20-21,Second year,Man,,Latino/Hispanic,,No,Transfer,,Social sciences,,Somewhat confident,12-14 credits,More online,20-29 hours,4,4,3,2,4,4,4,3,4,3,3,4,4,4,4,2,2,3,2,3,3,1,4,2,4,4,3,3.5,3.29
80,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Motivation/discipline,,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Agree,Strongly agree,Strongly agree,Often,Sometimes,Often,Sometimes,Never,Not at all,20+ hours,Figuring out my future,,17 or younger,Prefer not to say,Woman,,South Asian,,Yes,Other,Dual Enrollment,Humanities,,Very confident,6-8 credits,About equal,1-9 hours,4,4,4,5,5,4,5,5,5,4,3,3,5,3,4,5,5,3,2,3,2,0,0,4,5,2,1,4.5,4.0
81,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Strongly agree,Strongly agree,Neither agree nor disagree,Agree,Not prepared for college-level work,,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Disagree,Agree,Very often,Sometimes,Very often,Sometimes,Never,Moderate,<5 hours,Figuring out my future,,18-19,Second year,Woman,,Black/African American,,No,Transfer,,Arts/creative fields,,Not confident at all,15+ credits,All/mostly online,20-29 hours,4,4,3,3,4,4,5,5,3,4,4,3,3,4,2,2,4,4,2,4,2,0,2,1,1,5,3,3.9,3.14
82,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Disagree,Strongly agree,Disagree,Neither agree nor disagree,Agree,Motivation/discipline,,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Sometimes,Often,Very often,Sometimes,Never,Moderate,<5 hours,Financial stability,,20-21,Second year,Man,,South Asian,,Yes,Transfer,,STEM,,Not very confident,1-5 credits,All/mostly in-person,10-19 hours,4,3,2,3,4,2,5,2,3,4,3,3,2,2,3,3,4,2,3,4,2,0,2,1,2,1,2,3.2,2.86
83,Agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Motivation/discipline,,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Very often,Sometimes,Very often,Often,Rarely,Moderate,5-10 hours,Mental/emotional well-being,,18-19,First year,Woman,,Latino/Hispanic,,No,Transfer,,Health professions,,Very confident,9-11 credits,More online,20-29 hours,4,4,3,4,4,4,4,3,4,4,3,3,4,4,4,4,4,4,2,4,3,1,2,2,5,3,3,3.8,3.71
84,Neither agree nor disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Neither agree nor disagree,Motivation/discipline,,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Sometimes,Sometimes,Often,Often,Rarely,Not at all,5-10 hours,Doing well in school,,18-19,First year,Man,,Latino/Hispanic,,Yes,Transfer,,STEM,,Not very confident,12-14 credits,More online,1-9 hours,3,4,4,4,2,2,4,4,4,3,4,4,4,4,4,2,4,2,2,3,3,1,0,2,2,4,1,3.4,3.71
85,Strongly agree,Agree,Strongly agree,Strongly disagree,Agree,Agree,Agree,Disagree,Strongly agree,Disagree,Mental health/emotional stress,,Disagree,Agree,Strongly agree,Agree,Agree,Strongly disagree,Agree,Very often,Sometimes,Often,Sometimes,Never,Extreme,20+ hours,Doing well in school,,20-21,Second year,Woman,,Southeast Asian,,Yes,Transfer,,STEM,,Very confident,15+ credits,About equal,1-9 hours,5,4,5,1,4,4,4,2,5,2,2,4,5,4,4,1,4,4,2,3,2,0,4,4,5,5,1,3.6,3.43
86,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Strongly agree,Physical health/low energy,,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Not applicable,Very often,Rarely,Often,Sometimes,Rarely,Slight,<5 hours,Figuring out my future,,18-19,First year,Woman,,East Asian,,Yes,Transfer,,Business,,Somewhat confident,15+ credits,More online,20-29 hours,3,4,4,4,3,4,4,4,3,5,3,4,4,3,4,3,,4,1,3,2,1,1,1,4,5,3,3.8,3.5
87,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly agree,Disagree,Agree,Agree,Motivation/discipline,,Neither agree nor disagree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Sometimes,Sometimes,Very often,Rarely,Rarely,Moderate,11-19 hours,Figuring out my future,,18-19,First year,Woman,,Black/African American,,Yes,Transfer,,Social sciences,,Unsure,9-11 credits,About equal,0 hours,3,4,4,3,3,4,5,2,4,4,3,4,4,4,4,3,4,2,2,4,1,1,2,3,3,3,0,3.6,3.71
88,Agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Not prepared for college-level work,,Agree,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Often,Sometimes,Sometimes,Sometimes,Never,Not at all,<5 hours,Financial stability,,20-21,Second year,Woman,,East Asian,,Yes,Transfer,,STEM,,Somewhat confident,12-14 credits,About equal,0 hours,4,4,3,4,4,4,3,4,4,4,4,3,4,4,4,3,4,3,2,2,2,0,0,1,4,4,0,3.8,3.71
89,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Disagree,Family/caregiving responsibilities,,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Often,Sometimes,Sometimes,Often,Often,Moderate,5-10 hours,Friendships or relationships,,20-21,Third year or beyond,Woman,,Latino/Hispanic,,Yes,Transfer,,Business,,Unsure,1-5 credits,About equal,1-9 hours,3,4,4,4,3,4,3,4,4,2,3,4,4,3,4,3,4,3,2,2,3,3,2,2,3,1,1,3.5,3.57
90,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Teaching style/quality,,,Strongly disagree,Agree,Agree,Agree,Agree,Agree,Often,Often,Sometimes,Sometimes,Very often,Prefer not to say,20+ hours,Friendships or relationships,,18-19,First year,Woman,,South Asian,,Not sure,Associate degree,,Health professions,,Unsure,9-11 credits,All/mostly in-person,0 hours,3,3,4,2,4,4,4,3,3,3,,1,4,4,4,4,4,3,3,2,2,4,,4,3,3,0,3.3,3.5
91,Disagree,Strongly disagree,Neither agree nor disagree,Disagree,Disagree,Strongly agree,Neither agree nor disagree,Strongly disagree,Disagree,Strongly disagree,Work responsibilities,,Strongly disagree,Neither agree nor disagree,Agree,Agree,Disagree,Strongly disagree,Disagree,Sometimes,Rarely,Rarely,Often,Rarely,Extreme,11-19 hours,Financial stability,,18-19,First year,Man,,East Asian,,No,Transfer,,Business,,Somewhat confident,15+ credits,All/mostly in-person,30+ hours,2,1,3,2,2,5,3,1,2,1,1,3,4,4,2,1,2,2,1,1,3,1,4,3,4,5,4,2.2,2.43
92,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Motivation/discipline,,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Disagree,Disagree,Disagree,Agree,Often,Sometimes,Often,Rarely,Often,Very,5-10 hours,Doing well in school,,20-21,First year,Man,,White,,Yes,Transfer,,Social sciences,,Somewhat confident,15+ credits,About equal,0 hours,4,3,3,3,4,4,4,2,4,4,3,3,5,2,2,2,4,3,2,3,1,3,3,2,4,5,0,3.5,3.0
