studytime,absences,mother_education,father_education,family_relationship,free_time,activities,going_out,romantic,higher,grade_period_1,grade_period_2,final_grade
5–10 hours,12,high school,primary education only,excellent,high,no,moderate,no,yes,B,C,C
2–5 hours,0,high school,5th–9th grade,good,moderate,no,low,yes,yes,F,F,F
> 10 hours,7,high school,high school,excellent,moderate,no,moderate,no,yes,A,B,A
2–5 hours,4,high school,5th–9th grade,good,moderate,no,moderate,no,yes,F,D,D
5–10 hours,4,5th–9th grade,primary education only,good,moderate,yes,high,yes,yes,D,C,D
2–5 hours,0,higher education,higher education,good,moderate,yes,moderate,no,yes,D,D,F
2–5 hours,11,high school,higher education,good,moderate,yes,moderate,yes,yes,A,B,B
2–5 hours,0,5th–9th grade,5th–9th grade,average,moderate,no,very low,yes,yes,F,F,F
5–10 hours,4,5th–9th grade,high school,good,moderate,no,moderate,no,yes,D,D,D
5–10 hours,7,high school,5th–9th grade,excellent,high,no,moderate,yes,yes,C,C,B
5–10 hours,9,higher education,high school,excellent,moderate,no,low,yes,yes,A,B,A
5–10 hours,0,higher education,high school,excellent,high,no,very high,yes,yes,D,D,F
5–10 hours,0,higher education,high school,good,high,yes,moderate,yes,yes,C,B,B
< 2 hours,10,high school,5th–9th grade,poor,very high,no,very high,no,yes,D,C,C
2–5 hours,8,primary education only,primary education only,excellent,high,no,high,no,yes,F,F,F
2–5 hours,2,high school,high school,good,very high,no,high,no,yes,C,C,C
< 2 hours,7,primary education only,high school,good,moderate,no,moderate,yes,no,F,F,F
< 2 hours,4,primary education only,primary education only,good,high,no,high,no,yes,F,F,F
2–5 hours,4,higher education,high school,good,very high,yes,very high,yes,yes,C,D,D
2–5 hours,0,high school,high school,excellent,moderate,no,high,yes,yes,D,F,F
2–5 hours,4,higher education,higher education,good,moderate,yes,moderate,no,yes,C,C,C
2–5 hours,2,high school,5th–9th grade,very poor,low,no,moderate,yes,yes,C,C,D
< 2 hours,4,primary education only,primary education only,average,moderate,no,low,yes,yes,D,D,D
5–10 hours,0,primary education only,primary education only,excellent,moderate,no,low,no,yes,A,A,A
2–5 hours,0,primary education only,higher education,good,moderate,no,high,yes,yes,C,C,C
2–5 hours,2,primary education only,primary education only,good,high,yes,moderate,no,no,C,C,C
2–5 hours,0,high school,high school,good,moderate,no,low,yes,yes,D,D,D
2–5 hours,0,higher education,higher education,poor,moderate,yes,high,yes,yes,A,B,B
2–5 hours,0,primary education only,5th–9th grade,average,low,no,low,no,yes,C,D,C
2–5 hours,4,primary education only,high school,average,moderate,no,high,no,yes,D,D,D
5–10 hours,0,higher education,higher education,good,low,no,low,yes,yes,C,C,C
< 2 hours,0,primary education only,primary education only,excellent,low,no,very low,yes,yes,F,F,F
< 2 hours,0,5th–9th grade,high school,excellent,low,no,moderate,yes,yes,D,D,D
2–5 hours,10,higher education,higher education,average,low,no,low,yes,yes,B,C,D
2–5 hours,4,high school,5th–9th grade,average,low,yes,low,yes,yes,F,F,F
< 2 hours,3,primary education only,5th–9th grade,good,moderate,yes,moderate,yes,no,B,C,C
5–10 hours,8,5th–9th grade,5th–9th grade,average,high,yes,moderate,yes,yes,C,D,D
< 2 hours,14,primary education only,5th–9th grade,average,very high,yes,very high,no,yes,F,F,F
5–10 hours,0,higher education,higher education,excellent,high,no,high,no,yes,A,A,A
5–10 hours,2,primary education only,primary education only,good,moderate,no,low,no,yes,F,F,D
5–10 hours,4,higher education,5th–9th grade,excellent,high,no,moderate,yes,yes,B,B,B
2–5 hours,4,higher education,higher education,excellent,high,yes,moderate,no,yes,F,F,D
2–5 hours,0,high school,high school,good,very low,no,moderate,yes,yes,B,B,B
2–5 hours,17,high school,primary education only,good,very high,yes,high,no,yes,D,D,D
2–5 hours,4,higher education,higher education,average,low,yes,high,no,yes,B,B,B
< 2 hours,5,5th–9th grade,primary education only,good,high,yes,moderate,yes,yes,F,F,F
2–5 hours,2,5th–9th grade,high school,good,high,yes,moderate,no,yes,D,D,D
< 2 hours,0,primary education only,primary education only,good,moderate,no,low,no,yes,F,F,F
< 2 hours,14,higher education,5th–9th grade,excellent,high,no,moderate,no,yes,F,F,F
5–10 hours,2,5th–9th grade,5th–9th grade,excellent,moderate,no,moderate,no,yes,D,F,D
< 2 hours,7,higher education,higher education,good,high,yes,moderate,yes,yes,F,F,F
5–10 hours,0,5th–9th grade,high school,excellent,high,yes,low,no,yes,F,F,F
2–5 hours,0,high school,primary education only,good,moderate,no,high,no,yes,F,F,F
2–5 hours,0,primary education only,primary education only,very poor,very low,yes,very low,no,yes,F,F,F
2–5 hours,11,5th–9th grade,5th–9th grade,excellent,very high,no,high,no,yes,F,F,F
< 2 hours,3,high school,primary education only,poor,high,no,very high,no,yes,B,A,A
< 2 hours,3,primary education only,primary education only,excellent,very high,no,moderate,no,yes,D,F,F
< 2 hours,0,high school,5th–9th grade,good,high,no,very low,no,yes,D,C,D
< 2 hours,5,primary education only,primary education only,average,low,no,moderate,no,yes,F,F,F
